Date,Ticker,Sector,Open,High,Low,Close,Volume
2024-01-26,AAPL,Technology,149.67,150.05,148.77,150.0,21855245
2024-01-29,AAPL,Technology,147.01,147.3,146.05,147.05,15934929
2024-01-30,AAPL,Technology,148.55,149.09,146.9,147.95,20659450
2024-01-31,AAPL,Technology,149.34,151.14,148.16,148.74,15335003
2024-02-01,AAPL,Technology,151.97,152.8,149.53,151.5,8592282
2024-02-02,AAPL,Technology,150.01,150.29,148.99,149.97,24427727
2024-02-05,AAPL,Technology,147.27,148.67,145.98,148.6,15410386
2024-02-06,AAPL,Technology,147.16,148.08,146.72,147.13,26997168
2024-02-07,AAPL,Technology,144.28,145.6,143.11,144.73,23667529
2024-02-08,AAPL,Technology,139.05,141.52,137.18,137.97,23997831
2024-02-09,AAPL,Technology,140.23,140.76,139.62,140.38,20570407
2024-02-12,AAPL,Technology,142.38,143.69,142.11,142.5,22324451
2024-02-13,AAPL,Technology,138.33,139.12,137.9,138.64,22721707
2024-02-14,AAPL,Technology,137.3,137.9,135.25,137.62,26052631
2024-02-15,AAPL,Technology,135.59,137.0,135.19,135.83,5723189
2024-02-16,AAPL,Technology,133.42,135.96,133.09,134.15,20094034
2024-02-19,AAPL,Technology,130.2,130.51,128.83,129.03,25761103
2024-02-20,AAPL,Technology,126.09,127.83,125.39,127.62,9633167
2024-02-21,AAPL,Technology,129.83,130.15,128.65,129.03,24387123
2024-02-22,AAPL,Technology,136.68,136.86,134.78,135.02,16755377
2024-02-23,AAPL,Technology,135.41,136.84,134.57,136.03,20465424
2024-02-26,AAPL,Technology,136.03,136.85,135.7,136.38,27215518
2024-02-27,AAPL,Technology,134.79,135.42,133.84,135.16,16860667
2024-02-28,AAPL,Technology,134.02,134.75,132.86,133.75,26042018
2024-02-29,AAPL,Technology,137.07,137.48,134.24,136.07,14558194
2024-03-01,AAPL,Technology,135.91,138.59,134.45,136.83,24537948
2024-03-04,AAPL,Technology,135.28,135.59,134.18,135.32,37055914
2024-03-05,AAPL,Technology,132.97,133.07,132.18,132.88,23326557
2024-03-06,AAPL,Technology,132.7,133.45,132.09,132.54,33116663
2024-03-07,AAPL,Technology,132.26,133.78,130.83,131.31,13050104
2024-03-08,AAPL,Technology,131.25,131.39,130.22,131.34,8138614
2024-03-11,AAPL,Technology,131.93,132.08,130.44,130.85,12892880
2024-03-12,AAPL,Technology,130.63,132.59,130.56,131.81,10951256
2024-03-13,AAPL,Technology,127.95,129.16,126.41,128.85,18151340
2024-03-14,AAPL,Technology,130.36,131.66,130.11,131.43,1119848
2024-03-15,AAPL,Technology,138.01,138.28,137.32,138.05,32885585
2024-03-18,AAPL,Technology,141.92,142.2,139.94,141.06,37947621
2024-03-19,AAPL,Technology,141.71,141.73,141.64,141.67,21349519
2024-03-20,AAPL,Technology,143.85,144.56,143.29,143.97,19736454
2024-03-21,AAPL,Technology,140.99,142.13,140.88,141.4,18183582
2024-03-22,AAPL,Technology,138.54,141.18,136.34,137.42,28672804
2024-03-25,AAPL,Technology,137.82,139.73,137.45,139.38,10129827
2024-03-26,AAPL,Technology,137.5,139.19,135.77,138.08,26503724
2024-03-27,AAPL,Technology,135.71,136.41,133.69,134.78,16300052
2024-03-28,AAPL,Technology,133.04,134.21,132.01,132.69,18285967
2024-03-29,AAPL,Technology,129.78,130.71,129.36,130.04,17442946
2024-04-01,AAPL,Technology,131.22,132.24,129.82,130.4,24109841
2024-04-02,AAPL,Technology,131.59,132.12,130.41,131.81,26422305
2024-04-03,AAPL,Technology,133.83,134.47,132.82,133.96,15043470
2024-04-04,AAPL,Technology,135.13,137.69,134.54,136.17,11017861
2024-04-05,AAPL,Technology,139.37,141.46,136.38,138.07,21439891
2024-04-08,AAPL,Technology,137.53,138.14,137.13,137.6,19702343
2024-04-09,AAPL,Technology,136.91,137.03,135.96,136.1,17424456
2024-04-10,AAPL,Technology,132.42,132.75,130.78,132.46,10544391
2024-04-11,AAPL,Technology,135.67,135.83,134.95,135.12,20094143
2024-04-12,AAPL,Technology,134.99,135.52,133.98,134.74,21333869
2024-04-15,AAPL,Technology,133.08,134.18,131.45,133.79,27156930
2024-04-16,AAPL,Technology,137.03,137.28,135.71,136.68,31603440
2024-04-17,AAPL,Technology,135.25,137.05,133.28,134.52,15599181
2024-04-18,AAPL,Technology,136.6,137.11,135.87,136.59,21270430
2024-04-19,AAPL,Technology,136.8,137.97,135.42,137.36,13513899
2024-04-22,AAPL,Technology,133.86,135.79,132.84,134.84,13331057
2024-04-23,AAPL,Technology,136.62,137.11,134.53,134.71,13967240
2024-04-24,AAPL,Technology,137.63,138.2,136.99,137.11,37854855
2024-04-25,AAPL,Technology,139.05,140.28,138.35,139.13,19720834
2024-04-26,AAPL,Technology,144.29,144.94,141.05,142.92,24911004
2024-04-29,AAPL,Technology,143.4,144.49,142.4,143.84,24310453
2024-04-30,AAPL,Technology,151.33,153.42,151.06,152.62,19445198
2024-05-01,AAPL,Technology,150.65,150.84,148.7,150.15,22622100
2024-05-02,AAPL,Technology,149.61,150.21,147.96,149.12,25792665
2024-05-03,AAPL,Technology,149.38,149.45,147.23,149.01,22967443
2024-05-06,AAPL,Technology,145.42,145.7,143.92,145.26,12411051
2024-05-07,AAPL,Technology,148.87,148.92,147.31,148.03,20163214
2024-05-08,AAPL,Technology,150.52,151.53,149.93,150.49,20637008
2024-05-09,AAPL,Technology,150.22,151.07,149.89,150.6,21517570
2024-05-10,AAPL,Technology,148.81,150.55,147.86,149.2,18659495
2024-05-13,AAPL,Technology,144.89,146.75,144.69,145.24,27175720
2024-05-14,AAPL,Technology,142.08,143.5,141.17,143.22,20540318
2024-05-15,AAPL,Technology,146.03,146.57,143.72,145.19,36029719
2024-05-16,AAPL,Technology,144.4,145.15,142.89,144.69,31003166
2024-05-17,AAPL,Technology,143.22,144.06,142.93,143.63,10570490
2024-05-20,AAPL,Technology,144.25,146.02,143.46,144.97,19722956
2024-05-21,AAPL,Technology,148.23,149.89,146.98,148.05,26843641
2024-05-22,AAPL,Technology,148.61,148.84,147.89,148.78,12119899
2024-05-23,AAPL,Technology,149.99,150.17,149.15,149.68,21986000
2024-05-24,AAPL,Technology,155.46,156.17,152.84,153.43,15610907
2024-05-27,AAPL,Technology,153.5,154.67,152.19,153.96,29891621
2024-05-28,AAPL,Technology,152.69,154.08,152.17,153.16,16106469
2024-05-29,AAPL,Technology,155.6,155.83,153.38,155.07,30779087
2024-05-30,AAPL,Technology,155.91,156.59,153.98,154.41,21962918
2024-05-31,AAPL,Technology,153.72,154.45,151.22,153.44,18728846
2024-06-03,AAPL,Technology,156.34,158.57,155.51,157.01,19733842
2024-06-04,AAPL,Technology,157.76,158.34,155.99,156.24,19850568
2024-06-05,AAPL,Technology,149.78,152.51,148.26,148.83,16545192
2024-06-06,AAPL,Technology,150.65,151.39,147.82,149.81,24045740
2024-06-07,AAPL,Technology,148.5,149.43,147.32,148.79,25698748
2024-06-10,AAPL,Technology,148.48,149.62,146.82,148.07,29623670
2024-06-11,AAPL,Technology,149.85,150.03,149.17,149.33,28396251
2024-06-12,AAPL,Technology,148.28,149.33,147.86,148.94,20166194
2024-06-13,AAPL,Technology,150.6,150.8,149.51,149.56,10462837
2024-06-14,AAPL,Technology,144.75,145.43,141.93,144.17,17814616
2024-06-17,AAPL,Technology,141.94,142.2,140.16,141.77,19299417
2024-06-18,AAPL,Technology,145.63,146.26,145.21,145.41,16845711
2024-06-19,AAPL,Technology,145.56,146.69,144.33,145.41,20894503
2024-06-20,AAPL,Technology,140.55,142.29,139.01,141.08,16059658
2024-06-21,AAPL,Technology,138.69,140.25,138.34,138.41,16085669
2024-06-24,AAPL,Technology,137.36,138.79,133.83,135.98,23040091
2024-06-25,AAPL,Technology,135.91,137.28,135.22,136.28,21668975
2024-06-26,AAPL,Technology,134.85,136.51,134.01,135.27,24508847
2024-06-27,AAPL,Technology,133.64,135.49,132.61,133.71,9305165
2024-06-28,AAPL,Technology,133.26,133.81,133.03,133.76,18279604
2024-07-01,AAPL,Technology,135.22,136.44,133.56,134.96,19391268
2024-07-02,AAPL,Technology,135.19,135.52,133.94,134.38,23946786
2024-07-03,AAPL,Technology,133.36,133.98,131.76,133.04,21338592
2024-07-04,AAPL,Technology,132.58,132.67,130.7,132.07,15238791
2024-07-05,AAPL,Technology,134.22,134.26,131.56,132.93,20860505
2024-07-08,AAPL,Technology,132.47,133.76,131.85,132.96,16847459
2024-07-09,AAPL,Technology,133.46,135.28,131.13,134.84,8897229
2024-07-10,AAPL,Technology,132.64,133.39,131.69,132.1,13208230
2024-07-11,AAPL,Technology,130.27,130.3,129.18,130.3,30470874
2024-07-12,AAPL,Technology,132.78,132.99,132.13,132.16,21421480
2024-07-15,AAPL,Technology,128.86,130.53,128.23,130.3,12966143
2024-07-16,AAPL,Technology,133.39,135.32,132.77,133.59,15974007
2024-07-17,AAPL,Technology,137.44,138.82,136.1,137.01,20382018
2024-07-18,AAPL,Technology,140.0,141.2,139.61,140.5,26220819
2024-07-19,AAPL,Technology,138.79,139.84,137.78,138.32,29171101
2024-07-22,AAPL,Technology,138.71,140.78,137.87,138.56,32096010
2024-07-23,AAPL,Technology,137.52,138.17,136.9,137.38,17726785
2024-07-24,AAPL,Technology,140.03,140.55,139.13,139.71,19795142
2024-07-25,AAPL,Technology,145.71,147.53,143.59,144.05,20230892
2024-07-26,AAPL,Technology,146.46,147.1,145.28,146.36,18166816
2024-07-29,AAPL,Technology,145.12,146.86,144.44,146.44,16588887
2024-07-30,AAPL,Technology,146.76,148.06,143.99,145.52,21533768
2024-07-31,AAPL,Technology,148.11,149.9,146.79,147.28,27503005
2024-08-01,AAPL,Technology,144.06,144.26,143.14,144.09,24523673
2024-08-02,AAPL,Technology,144.29,147.07,142.85,145.53,15593981
2024-08-05,AAPL,Technology,143.49,144.0,142.91,143.18,16119871
2024-08-06,AAPL,Technology,144.31,144.86,143.09,144.83,23763934
2024-08-07,AAPL,Technology,144.17,145.27,141.22,144.46,27992749
2024-08-08,AAPL,Technology,142.16,143.88,141.01,143.5,10918269
2024-08-09,AAPL,Technology,142.15,142.63,140.91,141.27,19637454
2024-08-12,AAPL,Technology,140.77,140.85,139.11,140.41,26927107
